aptCode,aptName,dongCode,dongName,buildYear,jibun,lat,lng,img,avgDealAmount,totalDealCount
4844,반포TS프리우스,1165010700,반포동,2005,71-3,37.4983055,127.0000751,NULL,109500,1
4845,예성그린(1667-3),1165010800,서초동,2003,1667-3,37.49341709999999,127.0177725,NULL,100000,1
4846,로얄파크에이,1165010800,서초동,2005,1527-13,37.4841632,127.0084771,NULL,95000,1
4847,동아빌라트2,1165010800,서초동,1996,1678-2,37.4951551,127.0198169,NULL,150000,1
4848,서초동두산위브2,1165010800,서초동,2005,1507-38,37.4869785,127.0046778,NULL,148000,1
4849,한성,1165010800,서초동,2003,1511-9,37.486698,127.0078544,NULL,83000,1
4850,서초드림하이츠,1165010800,서초동,2003,1617-26,37.4874987,127.0218653,NULL,106000,1
4851,e-편한세상,1168010100,역삼동,2005,755-4,37.4987189,127.0499436,NULL,163473,53
4852,역삼동우정에쉐르1,1168010100,역삼동,2004,826-29,37.4962612,127.0301445,NULL,63333,3
4853,(735-15),1168010100,역삼동,2014,735-15,37.49853650000001,127.0334638,NULL,19500,2
4854,테헤란아이파크,1168010100,역삼동,2014,709-5,37.50243630000001,127.0466551,NULL,195764,11
4855,현대트라움,1168010100,역삼동,2002,760-7,37.4966427,127.0472433,NULL,192500,2
4856,성원대치2단지아파트,1168010300,개포동,1992,12,37.49396540000001,127.0750977,NULL,95147,78
4857,개포우성3차,1168010300,개포동,1984,652,37.4839447,127.0561699,NULL,200667,9
4858,현대탑빌라,1168010300,개포동,1993,1242-2,37.4797123,127.0459467,NULL,102000,1
4859,"개포주공 4단지",1168010300,개포동,1982,189,37.48553709999999,127.0714351,NULL,149625,4
4860,"우성9차아파트 901동, 902동",1168010300,개포동,1991,651-1,37.4848024,127.0571779,NULL,186462,16
4861,"개포주공 5단지",1168010300,개포동,1983,187,37.4875354,127.0686558,NULL,167548,29
4862,현대3,1168010300,개포동,1986,177,37.4878994,127.0609236,NULL,185000,2
4863,"개포주공 7단지",1168010300,개포동,1983,185,37.48883259999999,127.071487,NULL,158462,39
4864,"개포주공 6단지",1168010300,개포동,1983,185,37.48883259999999,127.071487,NULL,163378,36
4865,"개포주공 4단지",1168010300,개포동,1983,189,37.48553709999999,127.0714351,NULL,NULL,NULL
4866,경남2차,1168010300,개포동,1984,649,37.4843872,127.054267,NULL,243375,8
4867,청담대우멤버스카운티6차,1168010400,청담동,2004,110-4,37.5270139,127.0507638,NULL,191250,2
4868,삼성청담아파트,1168010400,청담동,1999,42,37.5177883,127.04297,NULL,152611,9
4869,청담대림e-편한세상,1168010400,청담동,2002,30-33,37.5206607,127.0477525,NULL,174550,14
4870,청담멤버스카운티10차,1168010400,청담동,2004,110-13,37.5266501,127.0505659,NULL,170000,1
4871,"청담파라곤Ⅱ 1단지",1168010400,청담동,2010,102-1,37.5286254,127.0465606,NULL,266833,3
4872,청담로얄카운티,1168010400,청담동,1999,117-3,37.5263225,127.0481478,NULL,348000,1
4873,삼호빌라A,1168010400,청담동,1997,113-16,37.5272274,127.048745,NULL,199000,2
4874,청담자이,1168010400,청담동,2011,134-38,37.5235476,127.0574077,NULL,212909,33
4875,홍실아파트,1168010500,삼성동,1981,79,37.5199625,127.0595683,NULL,269625,12
